ID,jobDetails,jobTitle,url
1148,"COVID-19 Help Needed Our residents and patients NEED YOU NOW.

No License or Certification required

Assist our licensed and certified staff during the COVID-19 crisis

Bed-making

Tidying resident rooms

Ensure call bells/bed controls in reach

Help serve drinks, snacks and meals

Assist with providing companionship and socialization for residents and patients

Help answer phones for the nurses

Nursing facility experience preferred but not required.

Nursing and CNA students encouraged to apply.

Must be available to start immediately. Training/orientation will be provided so we ask for at least 10 hours per week commitment for the next 4 weeks.

$13.00/hour",Caring Partner (Temporary COVID-19 Position),"https://www.glassdoor.com/job-listing/caring-partner-temporary-covid-19-position-briarwood-rehabilitation-and-healthcare-center-JV_IC1154631_KO0,42_KE43,89.htm?jl=3554499622"
1149,"This Direct Hire recruitment is to fill positions based on a critical hiring need resulting from the outbreak and spread of the""Coronavirus Disease 2019"" (COVID-19), which has caused a public health emergency. As such, all applicants who meet the OPM Public Health Program Specialist Series requirements and the minimum specialized experience qualifications stated in this announcement will be referred to hiring managers for further consideration.

This job does not have an education qualification requirement.As a Management Analyst, you will:


Analyze and evaluate the management practices and methods, and administrative operations of substantive organizations and complex functions.Identify and analyze issues, problems, and challenges facing the organization.Provide expert analysis and evaluation of work processes and policies, management practices and work operations taking into full consideration complex legislative, programmatic and management issues and problems.Review and evaluate managerial policies and procedure to determine gaps where additional guidance is needed and analyzes the impact of new or proposed legislation on agency operations. Develop or modify procedures for carrying out managerial or administrative functions. Develop policies, guidelines, instructions, and procedures for administrative and management requirements.Compile data and prepare complex administrative and management reports that are mandated from higher echelons in the organization and/or the Department.Perform other duties as assigned.


Continuation of Requirements:


Promotion Potential: Please be advised there is no promotion potential for these positions, any position filled with this announcement will be filled at the single grade level requested.Research position: NoSupervisory position: No. 


MINIMUM QUALS:

For GS-12: Applicants must have one year of specialized experience at/or equivalent to the GS-11 grade level in the Federal service to include experience performing a variety of analytical assignments utilizing qualitative and quantitative analysis to review and evaluate administrative operations and management practices for the purpose of improving organizational efficiency and effectiveness.

For GS-13: Applicants musthave one year of specialized experience at/or equivalent to the GS-12 grade level in the Federal service to include experience analyzing and evaluating management practices and administrative operations; designing and conducting studies of administrative management systems; and preparing administrative and management reports.",Management Analyst,"https://www.glassdoor.com/job-listing/management-analyst-centers-for-disease-control-and-prevention-JV_IC1154532_KO0,18_KE19,61.htm?jl=3554445457"
1150,"Title: Regulatory Affairs Medical Device ProfessionalLocation: Cambridge, MA 02142

Duration: 9-18 months contract; possibly longer for the right candidate

Compensation: $80.00 to $83.00 per hour; depending on experience

Regulatory Affairs / CMC Medical Device Professional

Need a temporary resource for combination product regulatory support including single entity and co-packaged products. Specifically, regulatory affairs (CMC/medical device) professional with combination product experience. Experienced in preparing submissions (NDA/BLA or MAA) with combination product/medical device contents and oversight of development team working on the combination product/medical device aspects (design controls).

Preference for on-site work in Cambridge at least three days per week, although there is some flexibility regarding remote work after the end of COVID19 restrictions.



	Regulatory Affairs, Combination Products and/or Medical Devices, some CMC experience (for drugs and/or biologics) preferred. Drug delivery systems –preferably pre-filled syringes and/or co-packaged delivery devices.

Ideally experience with coordinating or contributing to container closure & device global filing CTD content within M3 (US BLA & EU MAA), plus regulatory oversight experience with Design Controls including design verification & validation, human factors/usability studies, control strategies, and working with external suppliers.

Experienced in technical/regulatory writing.

Good communication skills and experience working cross-functionally and globally.

Experience working with external suppliers, particularly for device components and container closure systems.

Quick learner and able to navigate electronic systems to find information and apply to the given program.


Why Kelly®?As a worker today, its up to you to take charge of your career and look for opportunities to learn, grow, and achieve your potential. Helping you find whats next is what were all about. We know whats going on in the evolving world of workjust ask the nearly 500,000 people we employ each year. Connecting with us means getting the support, guidance, and opportunities needed to take your career where you may have never imagined.About Kelly®At Kelly, were always thinking about whats next and advising job seekers on new ways of working to reach their full potential. In fact, were a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.

Kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law.

#KellyGTS]]",Regulatory Affairs Medical Device Professional,"https://www.glassdoor.com/job-listing/regulatory-affairs-medical-device-professional-kelly-JV_IC1154545_KO0,46_KE47,52.htm?jl=3554427506"
1151,"Title: Regulatory Affairs Medical Device ProfessionalLocation: Cambridge, MA 02142

Duration: 9-18 months contract; possibly longer for the right candidate

Compensation: $80.00 to $83.00 per hour; depending on experience

Regulatory Affairs / CMC Medical Device Professional

Need a temporary resource for combination product regulatory support including single entity and co-packaged products. Specifically, regulatory affairs (CMC/medical device) professional with combination product experience. Experienced in preparing submissions (NDA/BLA or MAA) with combination product/medical device contents and oversight of development team working on the combination product/medical device aspects (design controls).

Preference for on-site work in Cambridge at least three days per week, although there is some flexibility regarding remote work after the end of COVID19 restrictions.



	Regulatory Affairs, Combination Products and/or Medical Devices, some CMC experience (for drugs and/or biologics) preferred. Drug delivery systems –preferably pre-filled syringes and/or co-packaged delivery devices.

Ideally experience with coordinating or contributing to container closure & device global filing CTD content within M3 (US BLA & EU MAA), plus regulatory oversight experience with Design Controls including design verification & validation, human factors/usability studies, control strategies, and working with external suppliers.

Experienced in technical/regulatory writing.

Good communication skills and experience working cross-functionally and globally.

Experience working with external suppliers, particularly for device components and container closure systems.

Quick learner and able to navigate electronic systems to find information and apply to the given program.


Why Kelly®?As a worker today, its up to you to take charge of your career and look for opportunities to learn, grow, and achieve your potential. Helping you find whats next is what were all about. We know whats going on in the evolving world of workjust ask the nearly 500,000 people we employ each year. Connecting with us means getting the support, guidance, and opportunities needed to take your career where you may have never imagined.About Kelly®At Kelly, were always thinking about whats next and advising job seekers on new ways of working to reach their full potential. In fact, were a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.

Kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law.

#KellyGTS]]",Regulatory Affairs Medical Device Professional,"https://www.glassdoor.com/job-listing/regulatory-affairs-medical-device-professional-kelly-JV_IC1154545_KO0,46_KE47,52.htm?jl=3554427506"
1152,"Summary

 This position is in the Region 1, Water Division, Surface Water Protection Branch, National Estuary & Marine Protection Section. If selected, you must work at the location stated in this announcement. About EPA Region 1: EPA Region 1 (New England)Learn more about this agency

Responsibilities

 You will:

- Provide technical, scientific, and regulatory analysis regarding proposed aquatic disposal activities under the Marine Protection Research and Sanctuaries Act (MPRSA) and the Clean Water Act (CWA);

- Design and develop survey plans and conduct monitoring surveys of EPA designated Ocean Disposal Sites;

- Communicate data and policy in reports relating to ocean disposal, sediment management, marine and estuarine waters, and ocean policy;

- Participate in the preparation, issuance, and oversight of contracts, grants, and inter-agency work assignments;

- Prepare or coordinate the preparation of rule making packages for EPA ocean disposal or other sediment placement sites, including compliance with the National Environmental Policy Act (NEPA), and provide support for programs concerning ocean and sediment management, monitoring & assessment, and protection & restoration of aquatic resources;

 




 Supervisory statusNo

 



 Promotion Potential13
 
 


 
Job family (Series)0401 General Natural Resources Management And Biological Sciences

1301 General Physical Science

0819 Environmental Engineering




 Requirements

 
Help

 Help


 Requirements

  Conditions of Employment




 If you are selected, a pre-employment background check is required.
You must submit a resume and required documents--see How to Apply section.
Position has education requirements--see Qualifications/Education section.
EPA and non-EPA applicants must submit transcripts/course listings.
You may be required to travel 1-5 days of each month.

This position is designated as Moderate Risk and requires a background investigation. Unless an appropriate background investigation is already on record with the Office of Personnel Management, you must undergo a background investigation.

You must meet time in grade requirements no later than 30 calendar days after the closing date of this announcement.

 Qualifications

 You need a degree or combination of education and experience as described below to qualify for this position.

In addition to the educational requirements, we are looking for at least one year of specialized experience related to this position as described below:

To qualify for the GS-13 level, you need to have at least one year of full-time experience equivalent to the GS-12 level defined as providing technical expertise for a water program related to dredging, ocean dumping/disposal, and/or sediment management; providing analysis of regulations, guidance, and policies associated with the Clean Water Act (CWA) and/or the Marine Protection Research and Sanctuaries Act (MPRSA).

Your answers to the online assessment will be used to evaluate your competencies in the following areas: 1) Knowledge of the MPRSA and CWA; 2) Ability to administer investigations, analyses, and evaluations of dredging and disposal alternatives; 3) Skill in performing monitoring surveys; 4) Ability to evaluate environmental performance of ocean disposal sites; 5) Knowledge of statutes, regulations, and guidance relating to Ocean Dumping/Disposal; 6) Skill in written communication; 7) Skill in coordinating inter-agency and inter-disciplinary projects.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.

If you have part-time work experience, read this: EPA Announcement Policies and Procedures.
 

 
EducationLife Scientist:

You must have a bachelor's degree from an accredited or pre-accredited college or university in one of the following: biological sciences, agriculture, natural resource management, chemistry, or related disciplines appropriate to the position; OR a combination of education and experience with courses equivalent to a major, as listed.

Physical Scientist:

You must have a bachelor's degree from an accredited or pre-accredited college or university in one of the following: physical science, engineering, or mathematics that included 24 semester hours in physical science and/or related engineering science such as mechanics, dynamics, properties of materials, and electronics; OR a combination of education and experience with education equivalent to one of the majors listed that included at least 24 semester hours in physical science and/or related engineering science, plus appropriate experience or additional education.

Environmental Engineer:

All applicants must meet one of the following requirements to qualify for consideration for an engineering position:


Successful completion of a professional engineering degree at an accredited university or college OR
Have a combination of college level education or training AND technical experience that has furnished you with (1) a thorough knowledge of the physical and mathematical sciences underlying professional engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following:



Professional registration as an engineer.
Evidence of passing the Engineer-in-Training written test.
Successful documented completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences as described by OPM.
Successful completion of a curriculum leading to a bachelor's degree in engineering technology or in an appropriate professional field and at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance.

Please review the OPM page on specifics about required curriculum and for more information on qualifications, please visit GS-800: All Professional Engineering Positions qualifications

 
Additional information

 Except in special circumstances, those new to the federal government will be hired at the starting salary (step 1) of the applicable grade range listed above.

EPA participates in E-Verify. E-Verify is an Internet based system operated by the Department of Homeland Security (DHS) in partnership with the Social Security Administration (SSA) that enables participating employers to electronically verify the employment eligibility of their newly hired employees. For additional information: EPA Announcement Policies and Procedures.

Are you a Displaced Federal Employee? If so, please read the Required Documents section and visit the EPA website for additional information: EPA Announcement Policies and Procedures

Position has portable work and selectee may be authorized to telework after meeting eligibility requirements if approved by the supervisor/manager.

If you are selected, travel, transportation, and relocation expenses will not be paid by EPA. Any travel, transportation, and relocation expenses associated with reporting to work in this position will be your responsibility.

This position is in the bargaining unit.Read more


 How You Will Be Evaluated

 You will be evaluated for this job based on how well you meet the qualifications above.

We will review your resume and required documents to ensure you meet the basic qualification requirements. Your resume must address the knowledge, skills, and abilities listed in the Qualifications section. If you meet basic qualification requirements, your application will be further evaluated based on your answers to the online assessment. Your responses to the online assessment will be used to measure the degree to which your background matches the requirements for the position and an applicable score assigned.

We will compare your resume and supporting documentation to your responses on the assessment questionnaire. If you rate yourself higher than is supported by your application materials, your responses may be adjusted and/or you may be excluded from consideration for this job. We will evaluate your qualifications and eligibility and notify you if you meet minimum qualification requirements. If you are referred for consideration, you may be subject to additional assessments.

NOTE: We do not require a separate statement responding to the competencies, also referred to as Knowledge, Skills, and Abilities (KSAs). However, your resume should clearly show possession of these competencies.To preview questions please click here.

Read more

 
Background checks and security clearance

 

Security clearanceNot Required

 
Drug test requiredNo
 
 
 
 




 Required Documents

 
Help

 Help


 Required Documents

 Documents to be submitted online:

NOTE: You should ensure your social security number, date of birth, and any other personal information are redacted.



-Resume clearly stating your experience related to this position as described in the Duties section and Qualifications section. In describing your experience, you need to be clear and specific. We may not make assumptions regarding your experience.
-Responses to the online assessment questionnaire (you must complete this online - it is not a document you need to upload).
-College transcripts - required to submit either unofficial transcripts or a list of courses that includes school(s) attended, school address, course title, grades earned, completion dates, department, and quarter or semester hours earned. NOTE: Official educational transcripts are not required at the time of application; however, if you are selected, you must provide official transcripts before you start work with EPA.
-Veterans' Preference Documents - DD-214 Member 4 copy (or other copy indicating character of service), VA letter stating overall/combined disability rating (percentage), and SF-15, if applicable (see page 2 of the SF-15 for documents that can be submitted in lieu of the DD-214 and VA letter); active duty service members: submit certification from the armed forces documenting active duty dates, expected discharge/release date, campaign medals/badges, and character of service (a certification is any written document from the armed forces that certifies you are expected to be discharged/released from active duty service in the armed forces under honorable conditions within 120 days after you submit the certification).
-Displaced Federal employees under ICTAP/CTAP: copy of your most recent performance appraisal, proof of eligibility, and your most current SF-50 noting position, grade level, tenure, and duty station.
-Current and Former Federal Employees: You are required to submit Notification(s) of Personnel Action (SF-50) that includes Position Title, Grade or Level, and Duty Station. The SF-50(s) must prove you are eligible to apply for the position and have met time-in grade:


• ELIGIBILITY - You must provide SF-50(s) demonstrating that you meet the criteria in the Clarification from the Agency section at the top right of this announcement. (The most common eligibility requirements are Competitive Status [Block 24/Tenure and Block 34/Position Occupied on SF-50] and In the Commuting Area [Block 39/Duty Station on the SF-50].)

• TIME-IN-GRADE - If you are applying for a higher grade, you must provide SF-50(s) demonstrating you have completed a minimum of 52 weeks in a position at the next lower grade. The next lower grade is identified in the Qualifications section of this announcement. (Some examples of SF-50s that can prove you’ve met time-in-grade include promotions, within-grade increases, and SF-50s dated a year apart within the same grade/job.)



-Current Federal Employees: You are required to submit your most recent completed annual performance appraisal, dated within the last 18 months (if it is not dated within the last 18 months, or you have not received a performance appraisal, you must upload a signed/dated explanation why). NOTE: You only need to upload the page that shows the overall rating and signature, not the entire document. NOTE DURING COVID-19 WORK FLEXIBILITIES: If your hard copy performance appraisal is not available due to current telework requirements/recommendations, you must check your eOPF. If you are unable to access your eOPF, contact your servicing HR office for assistance. If your performance appraisal document is not in your eOPF, you must upload a signed/dated explanation clarifying why the documentation is not available due to telework.
-If you are applying for a noncompetitive appointment, you'll need to submit additional documents to prove your eligibility to apply to this vacancy announcement. If you want to learn more about noncompetitive appointments, visit OPM's website: Special Appointment Authorities.


If you want to know more about submitting documentation to our office, visit EPA's website: EPA Announcement Policies and Procedures.



 If you are relying on your education to meet qualification requirements:Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from

 schools accredited by accrediting institutions recognized by the U.S. Department of Education.

Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating.
 
 




 Benefits

 
Help

 Help


 Benefits

 A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits.

Join EPA in protecting human health and the environment and enjoy many work life quality options! Working for the EPA offers you a comprehensive benefits package that includes, in part, paid vacation, sick leave, holidays, life insurance, health benefits, and participation in the Federal Employees Retirement System. To learn more about us, visit Life and Careers at EPA.

Review our benefits
Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.
 
 




 How to Apply

 
Help

 Help


 How to Apply

 You are strongly encouraged to read the entire announcement before you submit your application for this position.",Life Scientist/Physical Scientist/Environmental Engineer (Regional Ocean Dumping Coordinator),"https://www.glassdoor.com/job-listing/life-scientist-physical-scientist-environmental-engineer-regional-ocean-dumping-coordinator-environmental-protection-agency-JV_IC1154532_KO0,91_KE92,123.htm?jl=3554098748"
1153,"Location: 

 San Francisco, CA

Job Terms: 

 Temporary

Start date: 

 TBD

Date: 

 04/10/2020


Job Description:

 With the news of COVID19 spreading, Aquent is committed to ensuring the safety and well being of our employees. This includes providing technology to support video interviews, resources and support for employees to work from home successfully, and fully covered healthcare for eligible employees.

The Digital Marketing Manager will be responsible for establishing best in class programs and digital channels for the University program, becoming an integral part of building the University brand, driving customer success & revenue through adoption of our training & certification products.

Responsibilities:



	Assist Sales and Marketing teams to create online sales strategies across all customer segments adding valuable insights and unique point-of-view to reach our target audiences
Develop presence in Success Communities and other learning communities to maximize awareness of University offerings and help drive adoption of Training & Certification products
Collaborate with cross-functional team (Creative Services, Corporate Marketing, Sales, Curriculum Development) to deliver world-class marketing programs to our customers
Develop targeted online customer acquisitions strategy for all training products
Work with Sales and Marketing on tactical promotion initiatives designed to drive online, direct, and channel sales
Manage day-to-day execution of digital demand-generation activities (SEM, SEO, web traffic, conversion, etc.)
Coordinate company events, webinars, industry event sponsorships, and other campaign programs
Manage email marketing, newsletters and customer-retention campaigns
Track, test and optimize paid acquisition channels (PPC, retargeting, content syndication, etc.)
Keep up-to-date with latest digital marketing trends and tools
Reporting and analysis of campaigns and lead generation

Requirements:



	4+ years of relevant experience in online marketing
Online marketing experience in the technology sector and the ability to contribute on both strategic and operational levels
Outstanding communicator with a strong ability to translate complex ideas into creative and compelling campaigns
Strong team player with excellent organization and people skills and the ability to set priorities, problem-solve, multi-task and work in a global, dynamic, and rapidly changing environment
Experience managing digital and social campaigns and measuring their effectiveness 

Experience managing vendors and agencies on creative and technology projects
Demonstrated knowledge of any of the following is required: Salesforce, Radian6, Drupal, Eloqua, Omniture, Google Analytics, Tableau, Vimeo, Vidyard

Education:



	Bachelors degree
MBA Preferred





 
Client Description:Our client, the world's #1 Customer Relationship Management (CRM) platform, empowers companies to connect with their customers in a whole new way. The company was founded on three disruptive ideas: a new technology model in cloud computing, a pay-as-you-go business model, and a new integrated corporate philanthropy model.

These founding principles have taken the company to great heights, including being named one of Forbes’s “World’s Most Innovative Company” six years in a row and one of Fortune’s “100 Best Companies to Work For” nine years in a row. They are the fastest growing of the top 10 enterprise software companies, and this level of growth equals incredible opportunities to grow a career within the company. Together, with their employees, customers, partners and communities, they are working to improve the state of the world.

Why work with AQUENT? Check out our awesome benefits: https://aquent.com/find-work/talent-benefits

Aquent is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.",Project Coordinator,"https://www.glassdoor.com/job-listing/project-coordinator-aquent-JV_IC1154532_KO0,19_KE20,26.htm?jl=3554067842"
1154,"Location: 

 San Francisco, CA

Job Terms: 

 Temporary

Start date: 

 TBD

Date: 

 04/10/2020


Job Description:

 With the news of COVID19 spreading, Aquent is committed to ensuring the safety and well being of our employees. This includes providing technology to support video interviews, resources and support for employees to work from home successfully, and fully covered healthcare for eligible employees.

The Digital Marketing Manager will be responsible for establishing best in class programs and digital channels for the University program, becoming an integral part of building the University brand, driving customer success & revenue through adoption of our training & certification products.

Responsibilities:



	Assist Sales and Marketing teams to create online sales strategies across all customer segments adding valuable insights and unique point-of-view to reach our target audiences
Develop presence in Success Communities and other learning communities to maximize awareness of University offerings and help drive adoption of Training & Certification products
Collaborate with cross-functional team (Creative Services, Corporate Marketing, Sales, Curriculum Development) to deliver world-class marketing programs to our customers
Develop targeted online customer acquisitions strategy for all training products
Work with Sales and Marketing on tactical promotion initiatives designed to drive online, direct, and channel sales
Manage day-to-day execution of digital demand-generation activities (SEM, SEO, web traffic, conversion, etc.)
Coordinate company events, webinars, industry event sponsorships, and other campaign programs
Manage email marketing, newsletters and customer-retention campaigns
Track, test and optimize paid acquisition channels (PPC, retargeting, content syndication, etc.)
Keep up-to-date with latest digital marketing trends and tools
Reporting and analysis of campaigns and lead generation

Requirements:



	4+ years of relevant experience in online marketing
Online marketing experience in the technology sector and the ability to contribute on both strategic and operational levels
Outstanding communicator with a strong ability to translate complex ideas into creative and compelling campaigns
Strong team player with excellent organization and people skills and the ability to set priorities, problem-solve, multi-task and work in a global, dynamic, and rapidly changing environment
Experience managing digital and social campaigns and measuring their effectiveness 

Experience managing vendors and agencies on creative and technology projects
Demonstrated knowledge of any of the following is required: Salesforce, Radian6, Drupal, Eloqua, Omniture, Google Analytics, Tableau, Vimeo, Vidyard

Education:



	Bachelors degree
MBA Preferred





 
Client Description:Our client, the world's #1 Customer Relationship Management (CRM) platform, empowers companies to connect with their customers in a whole new way. The company was founded on three disruptive ideas: a new technology model in cloud computing, a pay-as-you-go business model, and a new integrated corporate philanthropy model.

These founding principles have taken the company to great heights, including being named one of Forbes’s “World’s Most Innovative Company” six years in a row and one of Fortune’s “100 Best Companies to Work For” nine years in a row. They are the fastest growing of the top 10 enterprise software companies, and this level of growth equals incredible opportunities to grow a career within the company. Together, with their employees, customers, partners and communities, they are working to improve the state of the world.

Why work with AQUENT? Check out our awesome benefits: https://aquent.com/find-work/talent-benefits

Aquent is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.",Project Coordinator,"https://www.glassdoor.com/job-listing/director-of-us-commercial-partnerships-simply-business-JV_IC1154532_KO0,38_KE39,54.htm?jl=3559078056"
1155,"Soliant Health is working with a wonderful hospital, who is seeking a Med Surg Nurse during the COVID-19 crisis! With the influx of patients, Med Surg Nurses are in high demand in the Boston, Massachusetts area. We are looking for someone who is willing to start immediately, and the client is offering competitive pay during this time.

Ideal Requirements:


Active BLS/ACLS
Experience in Med Surg unit
Massachusetts state license not required

Job Details:


Boston, MA 

Unit: Med Surg
COVID-19 crisis pay 

36 and 48 hour/week shifts available 

Must be comfortable floating 

Day/night available 

Quick interviews and hire

This is an urgent need, and we are looking to interview candidates for this position immediately. If you have questions about the specifics of this position or would like to submit a resume, reach out to my personal email below.Kari Mospanyuk

Senior Account Executive

(770) 325-0347 | Kari.Mospanyuk@Soliant.comCurrently staffing for ICU Nurses, ER Nurses, and MED Surg Nurses","Crisis Pay for Med Surg Nurse (RN) - Boston, Massachusetts","https://www.glassdoor.com/job-listing/crisis-pay-for-med-surg-nurse-rn-boston-massachusetts-soliant-health-JV_IC1154532_KO0,53_KE54,68.htm?jl=3554056088"
1156,"Due to the COVID-19 crisis, there is a high demand for RN's needed in the ICU/CCU. Critical Care Nurses will assess a patient's condition, perform diagnostic tests, begin treatments and assist doctors with any required medical procedures. There is a 13 week contract available in Stoughton, MA. Details below:

Contract Details:


13 Week Contract
12 hour shifts
36 Hrs/wk 

Weekly Pay

Minimum Qualifications:


BLS, ACLS
Current RN License
1-2 Years experience

If you are interested in this position or any other opportunities through Sunbelt Staffing, please send your resume to Caterina Phillips.

Caterina Phillips

National Hiring Manager

caterina.phillips@sunbeltstaffing.com

813-261-2248",ICU / CCU Contract Nurse - COVID,"https://www.glassdoor.com/job-listing/icu-ccu-contract-nurse-covid-sunbelt-staffing-JV_IC1154691_KO0,28_KE29,45.htm?jl=3553935765"
1157,"RESPONSIBILITIES:Kforce has a client in search of a Junior Accountant in Boston, MA.

This role is currently 100% remote and will switch back to an office environment when COVID-19 restrictions are lifted. 

Duties Include:



 Loan Servicing Unit (LSU) Associate is needed to support servicing of credit facilities on the Bank's loan accounting system process cash transfers and perform reconcilements
 Assist with data entry requests to support new loan accounting system implementation
 Generally, reports to Supervisor or Manager
 Day to day of the person going to look like: Data entry, loan request duties, projects, and reconciling

REQUIREMENTS:


 Bachelor's degree with 2-3 years of experience
 Financial operations background
 Knowledge of industry; Any related system experience LoanIQ/ACBS/Hogan
 Supporting a specific project or initiative: LoanIQ; Assisting with coverage of project UAT team
 What business unit is this supporting: GCF
 Excel skills
 Hands on training


Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",Junior Accountant,"https://www.glassdoor.com/job-listing/junior-accountant-kforce-JV_IC1154532_KO0,17_KE18,24.htm?jl=3553874072"
1158,"Mail Clerk MessengerWe are looking for a Mail Clerk Messenger at Fidelity Investments. This position is based in Boston, MA.

Our Mail Clerk Messenger will assist with timely pick-up, processing and delivery of inbound and outbound mail, packages, and freight.The Expertise You Have 




	High school diploma or equivalent

Valid driver’s license

Prior industry experience preferred


The Skills You Bring 




	You have excellent customer service skills and ability to work with business partners

You collaborate well in a team environment

Your ability to learn new systems and processes quickly, and coach and share best practices with other team members

You communicate well both in-person and via written communication


The Value You Deliver 




	Sorting and delivering all inbound shipments, including interoffice mail, newspapers, USPS mail, supply orders and internal distributions with outstanding accuracy and efficiency

Reconciling all trackable shipments against the delivery manifest and delivering the shipments to the business partners within the service level agreement requirements

Ordering shipping supplies through various shipping vendors and maintaining sufficient stock

Assisting with requests for cost efficiencies, shipment tracking, supply orders, and special requests

Ensuring all required paperwork including delivery manifests, receiving reports, shipping reports and vendor packing slips/manifests are accurately completed and filed


Company OverviewAt Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit ftsjobs.com

Fidelity Investments is an equal opportunity employer.

Company Overview

Fidelity TalentSource, formerly Veritude, is the in-house temporary staffing provider for Fidelity Investments, one of the largest and most diversified global financial services firms in the industry. We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skill set and developing your professional network, consider a role with Fidelity TalentSource. For information about working at Fidelity TalentSource, visit FTSJobs.com.

Information about Fidelity Investments

At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit FidelityCareers.com.

Fidelity Investments and Fidelity TalentSource are equal opportunity employers.",Mail Clerk Messenger,"https://www.glassdoor.com/job-listing/mail-clerk-messenger-fidelity-talentsource-JV_IC1154532_KO0,20_KE21,42.htm?jl=3553776671"
